source_column,import_id,question,semantic_score,response_label,n,pct_of_valid,wilson95_lower,wilson95_upper,valid_n
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",1,Strongly disagree,5,0.07246376811594203,0.03134777142998149,0.1586739420939903,69
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",2,Somewhat disagree,4,0.057971014492753624,0.02277238888037121,0.13979243357661653,69
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",3,Neither agree nor disagree,9,0.13043478260869565,0.07016627839603491,0.2296829993958729,69
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",4,Somewhat agree,37,0.5362318840579711,0.4197840683642111,0.648858159303249,69
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",5,Strongly agree,14,0.2028985507246377,0.12489333067903491,0.31224040244779294,69
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",1,Strongly disagree,3,0.043478260869565216,0.014895903896212308,0.12021202749379145,69
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",2,Somewhat disagree,3,0.043478260869565216,0.014895903896212308,0.12021202749379145,69
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",3,Neither agree nor disagree,20,0.2898550724637681,0.19616057979260038,0.4057144997361315,69
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",4,Somewhat agree,30,0.43478260869565216,0.32432802635131497,0.5521159638472569,69
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",5,Strongly agree,13,0.18840579710144928,0.11354748324355969,0.29612935881628416,69
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",1,Strongly disagree,2,0.07692307692307693,0.0213550884722762,0.2414155377162906,26
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",2,Somewhat disagree,1,0.038461538461538464,0.006821984993543487,0.18892778903034757,26
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",3,Neither agree nor disagree,4,0.15384615384615385,0.06150033723578355,0.3353119932821348,26
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",4,Somewhat agree,16,0.6153846153846154,0.4253485008511553,0.7757140556428721,26
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",5,Strongly agree,3,0.11538461538461539,0.04003244623610615,0.2897590321171364,26
